date,user,text,retweets,favourites
2021-05-01 19:50:21,JoeBiden,Democracy can deliver for the American people. https://t.co/UZ4BDIVoPf,1720,13471
2021-05-01 18:16:37,JoeBiden,"RT @TheDemocrats: Elections make a difference. Thank you, Georgia. https://t.co/hKn1vIIr7Y",1044,0
2021-05-01 17:08:31,JoeBiden,"RT @POTUS: This May, during Asian American and Native Hawaiian/Pacific Islander Heritage Month, we recognize the history and achievements o…",3926,0
2021-05-01 16:40:15,JoeBiden,We’ve never been more optimistic about the future of America. https://t.co/EBHlCb2P84,3945,60490
2021-04-30 22:41:52,JoeBiden,"Thank you, Georgia, for everything. https://t.co/1Ci4pFJ4os",4270,67911
2021-04-30 18:50:30,JoeBiden,RT @POTUS: Join me at Philadelphia’s 30th Street Station as we celebrate Amtrak’s 50th Anniversary. https://t.co/HuPetlGvaU,1460,0
2021-04-29 20:07:27,JoeBiden,"In Georgia with @DrBiden to celebrate the successes of the first 100 days of the Biden-Harris administration. Jobs are coming back, folks are getting vaccinated, and better days are ahead. Tune in. 
https://t.co/v1B30kekja",1106,7943
2021-04-29 16:07:32,JoeBiden,100 days in—and America is getting back on track.,9827,137700
2021-04-29 02:14:29,JoeBiden,"RT @POTUS: If we are to truly restore the soul of America, then we need to protect the sacred right to vote.

Congress should pass H.R. 1 a…",6110,0
2021-04-29 01:53:55,JoeBiden,"RT @POTUS: Trickle-down economics has never worked.

It’s time to grow the economy from the bottom up and middle out.",30070,0
2021-04-29 01:20:38,JoeBiden,"RT @POTUS: 100 days ago, America’s house was on fire. We had to act, so we:

- Passed the American Rescue Plan
- Administered over 200 mill…",3409,0
2021-04-29 01:01:41,JoeBiden,"Together, we’re getting back on track. Tune in now for our administration’s first joint address to Congress. https://t.co/WWjl35N2Em",1075,8391
2021-04-28 18:38:49,JoeBiden,"RT @POTUS: To make tonight’s joint address accessible for all Americans, every White House livestream will have American Sign Language (ASL…",2895,0
2021-04-28 15:01:50,JoeBiden,"Before tonight’s joint address to Congress, join @DrBiden and Mayor @KeishaBottoms for a call to thank our grassroots supporters. Sign up here to join them: https://t.co/tF9AJStpL6",750,5620
2021-04-27 21:19:23,JoeBiden,"With the first 100 days of our administration under our belt, America is getting back on track—all thanks to the support of grassroots volunteers. Help us keep the momentum going by joining our Week of Action: https://t.co/alyMSnBATt",1732,16805
2021-04-27 19:32:54,JoeBiden,"RT @POTUS: I believe no one should work full time and still live in poverty. That’s why today, I raised the minimum wage to $15 an hour for…",23946,0
2021-04-26 22:12:44,JoeBiden,"The American Jobs Plan will strengthen unions, help protect workers, and rebuild our economy. https://t.co/sHNa1eRfiB",2559,22232
2021-04-26 19:03:23,JoeBiden,"RT @POTUS: Today, we’re launching a new program funded by the American Rescue Plan to provide nutrition assistance to more than 30 million…",6163,0
2021-04-25 21:05:37,JoeBiden,"Get vaccinated, America.",20465,215142
2021-04-25 19:45:17,JoeBiden,"RT @POTUS: Just as India sent assistance to the United States as our hospitals were strained early in the pandemic, we are determined to he…",16060,0
2021-04-24 21:55:00,JoeBiden,"RT @POTUS: Before I took office, I promised help was on the way. Just three months in, I’m proud to say help is here. We’ve delivered over…",11460,0
2021-04-24 16:38:57,JoeBiden,Let’s close the digital divide once and for all. Our American Jobs Plan will make sure every American has access to high-speed internet. https://t.co/Ru1NSfN7C0,2787,24785
2021-04-23 15:58:13,JoeBiden,Heading back to Georgia with @DrBiden next Thursday to mark 100 days of our administration and thank folks for helping us build back better as a nation. See you soon!,4014,52250
2021-04-22 17:17:26,JoeBiden,"RT @WhiteHouse: Before taking office, President Biden set a bold goal of 100 million shots in his first 100 days.
 
After reaching the goal…",2533,0
2021-04-22 17:17:12,JoeBiden,RT @POTUS: America is back. We rejoined the Paris Agreement and are ready to rally the world to tackle the climate crisis. Let’s do this.,18365,0
2021-04-21 16:30:38,JoeBiden,"RT @POTUS: The guilty verdict does not bring back George Floyd. But through the family’s pain, they are finding purpose so George’s legacy…",3911,0
2021-04-20 23:19:51,JoeBiden,"RT @POTUS: Today, a jury in Minnesota found former Minneapolis Police Officer Derek Chauvin guilty of murdering George Floyd.
 
The verdict…",8639,0
2021-04-20 23:08:04,JoeBiden,RT @WhiteHouse: Live: President Biden and Vice President Harris address the nation on the verdict in the trial of Derek Chauvin. https://t.…,2052,0
2021-04-20 17:33:04,JoeBiden,"If we act now on the American Jobs Plan, in 50 years, people will look back and say this was the moment that America won the future. https://t.co/ZOJGr9E2i3",2701,19986
2021-04-19 20:33:25,JoeBiden,"Today, every adult is eligible to get a COVID-19 vaccine. Better days are ahead.",17548,191855
2021-04-18 13:57:35,JoeBiden,"RT @POTUS: Imagine a future where we lead the world and tackle the threat of climate change with American jobs and ingenuity.

We can make…",5264,0
2021-04-16 21:32:03,JoeBiden,RT @POTUS: Vice President Harris and I have been briefed on the mass shooting at a FedEx facility in Indianapolis. God bless the eight indi…,6652,0
2021-04-16 17:56:01,JoeBiden,RT @POTUS: I’m looking forward to welcoming my friend Prime Minister Suga to the White House this afternoon for the first foreign leader vi…,4068,0
2021-04-14 18:54:48,JoeBiden,"RT @POTUS: It is time to end America’s longest war. 

It is time for American troops to come home from Afghanistan.",13034,0
2021-04-14 17:12:44,JoeBiden,RT @WHCOVIDResponse: We continue to make progress in our work to vaccinate as many adults in this country as we can. Our current 7-day dail…,853,0
2021-04-14 00:31:02,JoeBiden,"RT @POTUS: Today, the FDA and CDC recommended a pause in the use of the Johnson &amp; Johnson vaccine. Here’s what you need to know: https://t.…",3509,0
2021-04-13 21:02:57,JoeBiden,"RT @POTUS: “When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death — that is her…",3195,0
2021-04-13 20:00:10,JoeBiden,"RT @POTUS: Race should never determine health outcomes — and pregnancy and childbirth should be safe for all. But for too many Black women,…",2895,0
2021-04-12 23:56:08,JoeBiden,"RT @POTUS: Today I’m thinking about Daunte Wright and his family — and the pain, anger, and trauma that Black America experiences every day…",14047,0
2021-04-10 23:31:17,JoeBiden,RT @POTUS: Gun violence in this country is an epidemic — and it’s long past time Congress take action.,15851,0
2021-04-09 18:17:14,JoeBiden,RT @WHCOVIDResponse: More than 112 million Americans have received at least one dose and more than 66 million adult Americans are now fully…,1507,0
2021-04-08 21:54:05,JoeBiden,"RT @POTUS: My Administration is taking initial steps to reduce gun violence, including:

- Stopping the proliferation of ghost guns
- Regul…",5850,0
2021-04-08 16:00:19,JoeBiden,"RT @POTUS: Today, I’m joining Vice President Harris and Attorney General Garland to announce new actions to reduce gun violence. Tune in. h…",3891,0
2021-04-07 21:10:08,JoeBiden,RT @WhiteHouse: Clean drinking water is infrastructure. The American Jobs Plan will improve our water infrastructure by replacing 100% of t…,4568,0
2021-04-06 21:14:58,JoeBiden,"RT @POTUS: I’m proud to share that yesterday, we crossed 150 million shots in just 75 days of my Administration — on our way to hitting our…",10673,0
2021-04-06 20:11:41,JoeBiden,RT @POTUS: My Administration is working to get America vaccinated as quickly as possible. Tune in as I provide an update on our progress an…,1501,0
2021-04-05 20:55:24,JoeBiden,RT @POTUS: Here’s the deal: Wall Street didn’t build this country — the great American middle class did. It’s time we rebuild the middle cl…,14856,0
2021-04-04 14:37:24,JoeBiden,"RT @POTUS: From our family to yours, we wish you health, hope, joy, and peace. Happy Easter, everyone! https://t.co/3NHPrbFCVt",11543,0
2021-04-03 14:49:10,JoeBiden,"RT @POTUS: This week, I announced the American Jobs Plan, which will invest in our infrastructure and strengthen America’s competitiveness…",4096,0
2021-04-01 21:01:54,JoeBiden,RT @POTUS: The American Jobs Plan will ensure every American can turn on the faucet or fountain and drink clean water. https://t.co/V1WT3Tk…,3259,0
2021-04-01 01:34:37,JoeBiden,The American Jobs Plan is the largest American jobs investment since World War II.,9939,105783
2021-04-01 00:16:34,JoeBiden,"Under the American Jobs Plan, 100% of our nation’s lead pipes and service lines will be replaced—so every child in America can turn on the faucet or fountain and drink clean water. 

We cannot delay another minute.",7079,54552
2021-03-31 22:19:30,JoeBiden,"Wall Street didn’t build this country—the great American middle class did. This time, when we rebuild the middle class under the American Jobs Plan, we’re bringing everyone along.",11411,107776
2021-03-31 21:10:52,JoeBiden,"Delivering for the American people is what the American Rescue Plan was about. It’s what the American Jobs Plan is about.

We can do this.
We have to do this.
We will do this.",2256,19228
2021-03-31 20:52:27,JoeBiden,"The American Jobs Plan is a once-in-a-generation investment in America. It will:
✅Modernize 20,000 miles of highways, roads, and main streets
✅Repair 10,000 bridges desperately in need of upgrades 
✅Replace 100% of our nation’s lead pipes and service lines",4111,25526
2021-03-31 20:46:20,JoeBiden,"Millions of Americans lost their jobs last year.

Here’s the truth: We all do better when we all do well. It’s time to build our economy from the bottom up—and the middle out—not the top down.",5452,46428
2021-03-30 16:29:52,JoeBiden,RT @POTUS: We can’t be silent in the face of rising violence against Asian Americans. That’s why today I’m taking additional steps to respo…,10916,0
