date,user,text
2021-04-30 16:04:16,llutfiyeodman,@JoeBiden 🇺🇸⭐️⭐️⭐️⭐️⭐️🇺🇸
2021-04-30 16:01:11,CoachSmith97,@JoeBiden More like the highway to hell...
2021-04-30 16:01:08,Dino71441295,"@JoeBiden Back on track?  Is that what the old man, biden, calls ruining America?

 Americans do not agree that we are ""back on track""! This will play out in 2022."
2021-04-30 16:01:05,MutebiR43118759,@JoeBiden we all wanted it.😀😃😀
2021-04-30 15:59:21,kathie_lake,@JoeBiden And I thank you and the Vice President very much.
2021-04-30 15:58:43,Sandy95810838,@JoeBiden Great job but we have a long way to go. I’m tired exhausted but I’m chugging along. We all have to do are job
2021-04-30 15:58:09,DebHoutman7,"@JoeBiden An awesome task which is being handled by an AWESOME 😎 PREZ &amp; VP+ALL YOUR STAFF
@JoeNBC  @jheil  @samstein  @SafetyPinDaily  @BombshellDAILY 
@mikebarnicle  @funder"
2021-04-30 15:57:55,The_Captain2014,"@JoeBiden @BarackObama @DonaldTrump @WhiteHouse @WSJ 
GENOCIDE BY AMERICA  Vietnam 4 Million people.
Korea  3 million people Afghanistan 1.5 million people Iraq 1-Million people 
Japan 350.000 people 
and American natives 15 MILLION

STOP 🛑 KILLING INNOCENT PEOPLE..."
2021-04-30 15:57:48,soph_simps,@JoeBiden hell yeah daddy biden
2021-04-30 15:55:53,AgarwalArryan,"@JoeBiden @VP They way we are treating to the world today, world will also treat us in the same way soon, we have realised an old friend is better than new two friends, thanks for bringing us back to Russia, he has shown us that he is more than a friend to us and really care"
2021-04-30 15:55:14,clickchic77,"@JoeBiden Sir, you are sadly mistaken if that's what you truly believe."
2021-04-30 15:53:39,Chris505Alpha,@JoeBiden I don't know anyone that likes this man. If you do please explain
2021-04-30 15:52:13,patriot1752,"@JoeBiden President, Joe Warbucks pushes 6_TRILLION Dollars in his spending spree and calls it, investment. Socialism causes hyper inflation, Debt, Depepedance on Government, Loss of our Constitutional rights and loss of technological innovation."
2021-04-30 15:51:54,RobertTocco,@JoeBiden Nice work Joe!
2021-04-30 15:51:08,BhaveshSooda,@JoeBiden Yes. At the cost of other countries getting off tray🤐
2021-04-30 15:50:48,FloridaGatorJoe,@JoeBiden 100 Days in and the Gators are back on track!
2021-04-30 15:50:37,Sandeep53954145,@JoeBiden Trump is more batter than biden
2021-04-30 15:49:25,PurvisGaston,@JoeBiden thats a damn lie 😂 your putting America off track😂
2021-04-30 15:48:33,mykidsdad511,@JoeBiden Right on track to the bottom!!
2021-04-30 15:46:41,sam0x17,@JoeBiden You've been slow AF. Should have got rid of filibuster in week 1
2021-04-30 15:44:54,BogdanG84812880,@JoeBiden You're the best preside- *shits aggressively*
2021-04-30 15:44:33,NMcgowen,@JoeBiden Hard for someone not to succeed after Trump.  Just spend a lot of money and action every liberal agenda.  Even better when Nancy and Chuck don’t shelve their responsibilities so they can fight you every single day.
2021-04-30 15:43:20,youhezou,@JoeBiden keep alert
2021-04-30 15:42:47,Anchovio123,@JoeBiden 🇧🇷BRASIL!!!!!!🇧🇷
2021-04-30 15:42:27,youhezou,@JoeBiden Call American get vaccine shot again
2021-04-30 15:42:16,Fernand64770746,"@JoeBiden Voted Biden... but what is better? 
Covid is the same
Economy still sucks
Stock market is WORST 
just propaganda is better."
2021-04-30 15:40:58,youhezou,@JoeBiden https://t.co/9zWr9yoeWz
2021-04-30 15:40:49,Robin69830412,"@JoeBiden You did not  do what you promised, review your video on campaign promises, and its not getting back to normal stop lying to American people, we are still struggling, 1400 was a joke ,you pay your bills on that, all of you I want to see it"
2021-04-30 15:40:28,marie04803250,@JoeBiden Yes
2021-04-30 15:39:19,JamesFa26218015,"@JoeBiden Dear Joe,  

So far, so great! Thank you for the life preservers you’ve embedded in our government to help save democracy for All. Just one favor, bro...full legalization. Revenues would be off the charts. C’mon, man!"
2021-04-30 15:37:08,LaurenB02152555,@JoeBiden The track to hell
2021-04-30 15:36:39,BlaneGray3,@JoeBiden Mfka can you please fix the gas prices?? 😭😭😭
2021-04-30 15:36:22,EAD75365867,"@JoeBiden Mr. President: the situation at the border IS a #HumanitarianCrisis You may not like the politics of it, but maybe @DrBiden  @VP need to go down to see it! I’ve been there.  I’ve held the babies.  Stop expelling asylum seekers #Asylum #AsylumIsLegal #NotInMyName"
2021-04-30 15:36:21,DeplorableJ58,"@JoeBiden America was on track to prosper with President Trump. 
Now you are dragging it into a socialist nightmare."
2021-04-30 15:36:13,WVUsquurrel,"@JoeBiden Right, better off now than we were ever under Trump"
2021-04-30 15:34:31,DouglasDusold,@JoeBiden You plan on stripping people the ability to consume tobacco. Obviously you didn't learn anything from the war on drugs. You ban tobacco and you IMMEDIATELY creat a black market. So for that I guess I should say thank you! About sick of the taxes on them anyway
2021-04-30 15:34:02,ShwaReynolds,"@JoeBiden I think the biggest issue is money has our country fkn lazy, and not one man runs this country."
2021-04-30 15:33:42,MDROKONAHMED12,"@JoeBiden Amazing what having a competent President can do. Thank you, President Biden! Love u Mr.President ❣️"
2021-04-30 15:33:11,1066scot,"@JoeBiden History picks great men or creates them from ordinary ones in times of great need . Washington , Lincoln,FDR and now Biden. With HR1 the luck can hold."
2021-04-30 15:32:14,tjack1123,"@JoeBiden 170k dead Americans from covid in you first 100 days and kids in cages with capacity over 800%.  You don’t fool all of us, Joe!"
2021-04-30 15:31:53,loveDbeach007,@JoeBiden Gracias Joseph! 🙋‍♂️👏
2021-04-30 15:30:14,phillip_vote22,"@JoeBiden Louis “get used to me” DeJoy days are numbered...
https://t.co/0a1ZXwqqN0"
2021-04-30 15:30:12,ikipA5xXJyLT7An,@JoeBiden 一句也看不懂完了
2021-04-30 15:29:52,beeasf_,@JoeBiden don’t you take my menthol cigarettes away 😟
2021-04-30 15:29:26,Iconoclast_40,@JoeBiden On the social front... you need to balance your statements and implore the youths to “respect authority”......do not bridle the ox while using it to thresh wheat. Be wise and lead with wisdom and not by being respecter of persons trying to gain accolades.
2021-04-30 15:28:12,meshelalee,@JoeBiden Amen
2021-04-30 15:25:51,DanielF97088748,@JoeBiden Nervous about the audit huh.
2021-04-30 15:24:21,MitsukiIsMySon,@JoeBiden Not for me. I’m about to lose my job and be broke again. It’s not easy finding a new job and I just moved 2 weeks ago. We need monthly stimulus checks along with better paychecks.
2021-04-30 15:23:11,FreakTrader,@JoeBiden https://t.co/AsIwYvMlFz
